Protein ID,Log2 fold change
H26_vs_DksgA_PEP,0.77346565
H26_vs_DksgA_PEP,0.76864695
H26_vs_DksgA_PEP,0.69704085
H26_vs_DksgA_PEP,0.71935891
H26_vs_DksgA_PEP,0.69392944
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.77178494
H26_vs_DksgA_PEP,0.69816739
H26_vs_DksgA_PEP,0.06818007
H26_vs_DksgA_PEP,0.71962809
H26_vs_DksgA_PEP,0.07574968
H26_vs_DksgA_PEP,0.92914537
H26_vs_DksgA_PEP,0.29375492
H26_vs_DksgA_PEP,0.03479782
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.67247284
H26_vs_DksgA_PEP,0.13032734
H26_vs_DksgA_PEP,0.00412189
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.90281129
H26_vs_DksgA_PEP,0.79338674
H26_vs_DksgA_PEP,0.68678396
H26_vs_DksgA_PEP,0.17867125
H26_vs_DksgA_PEP,0.76328661
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,1
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.68302706
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.5115786
H26_vs_DksgA_PEP,0.70069265
H26_vs_DksgA_PEP,0.63401755
H26_vs_DksgA_PEP,0.73524566
H26_vs_DksgA_PEP,0.89337549
H26_vs_DksgA_PEP,0.00082573
H26_vs_DksgA_PEP,0.7155745
H26_vs_DksgA_PEP,0.8044761
H26_vs_DksgA_PEP,0.7123068
H26_vs_DksgA_PEP,0.04893901
H26_vs_DksgA_PEP,0.77322593
H26_vs_DksgA_PEP,0.64225708
H26_vs_DksgA_PEP,0.59559734
H26_vs_DksgA_PEP,0.74656463
H26_vs_DksgA_PEP,0.69562902
H26_vs_DksgA_PEP,0.32881736
H26_vs_DksgA_PEP,0.73758328
H26_vs_DksgA_PEP,0.80714952
H26_vs_DksgA_PEP,0.73576614
H26_vs_DksgA_PEP,0.29991059
H26_vs_DksgA_PEP,0.68850834
H26_vs_DksgA_PEP,0.80335732
H26_vs_DksgA_PEP,0.7553757
H26_vs_DksgA_PEP,0.12326639
H26_vs_DksgA_PEP,0.77106272
H26_vs_DksgA_PEP,0.51792635
H26_vs_DksgA_PEP,0.67689758
H26_vs_DksgA_PEP,0.81897968
H26_vs_DksgA_PEP,1
