Protein ID,Log2 fold change
H26_vs_DksgA,-1.324645938
H26_vs_DksgA,-1.226535785
H26_vs_DksgA,-0.277511786
H26_vs_DksgA,0.092742905
H26_vs_DksgA,1.748454338
H26_vs_DksgA,-0.144491223
H26_vs_DksgA,-0.022265472
H26_vs_DksgA,-0.507477595
H26_vs_DksgA,-0.333760693
H26_vs_DksgA,0.087475375
H26_vs_DksgA,-0.519021438
H26_vs_DksgA,-0.901127252
H26_vs_DksgA,-0.06512163
H26_vs_DksgA,0.541204382
H26_vs_DksgA,-1.283449569
H26_vs_DksgA,0.261226859
H26_vs_DksgA,-0.047852094
H26_vs_DksgA,0.399301221
H26_vs_DksgA,0.310121627
H26_vs_DksgA,0.109269683
H26_vs_DksgA,-0.212580676
H26_vs_DksgA,0.988052414
H26_vs_DksgA,-0.496842627
H26_vs_DksgA,-0.155503706
H26_vs_DksgA,0.239814417
H26_vs_DksgA,0.355579757
H26_vs_DksgA,-0.227798505
H26_vs_DksgA,-0.834822275
H26_vs_DksgA,0.197266751
H26_vs_DksgA,0.160447633
H26_vs_DksgA,0
H26_vs_DksgA,-0.44807062
H26_vs_DksgA,0.272635722
H26_vs_DksgA,0.043012399
H26_vs_DksgA,0.110817685
H26_vs_DksgA,-0.256419357
H26_vs_DksgA,-0.847655266
H26_vs_DksgA,-0.043225349
H26_vs_DksgA,-0.616418804
H26_vs_DksgA,-0.110880506
H26_vs_DksgA,-0.400152458
H26_vs_DksgA,0.708410281
H26_vs_DksgA,0.596760447
H26_vs_DksgA,0.368701555
H26_vs_DksgA,-0.028634492
H26_vs_DksgA,0
H26_vs_DksgA,0
H26_vs_DksgA,0
H26_vs_DksgA,-1.236184749
H26_vs_DksgA,0.403071027
H26_vs_DksgA,-0.058934651
H26_vs_DksgA,-0.001031654
H26_vs_DksgA,-0.070742364
H26_vs_DksgA,0.357462129
H26_vs_DksgA,-0.362718203
H26_vs_DksgA,-0.021712383
H26_vs_DksgA,-0.436710692
H26_vs_DksgA,0.915955427
H26_vs_DksgA,0.270962462
H26_vs_DksgA,-0.362327274
H26_vs_DksgA,0.564378355
H26_vs_DksgA,-0.339316728
H26_vs_DksgA,0.185038622
H26_vs_DksgA,-0.353614877
H26_vs_DksgA,-0.068691624
H26_vs_DksgA,0.327270973
H26_vs_DksgA,0.254866193
H26_vs_DksgA,-0.124378688
H26_vs_DksgA,0.529631125
H26_vs_DksgA,0.718292368
H26_vs_DksgA,0.544200903
H26_vs_DksgA,5.518120708
H26_vs_DksgA,0.06326005
H26_vs_DksgA,0.325462279
H26_vs_DksgA,0.188635775
H26_vs_DksgA,-0.04583981
H26_vs_DksgA,-0.469039898
H26_vs_DksgA,0.181588291
H26_vs_DksgA,-0.25723414
H26_vs_DksgA,0.246494638
H26_vs_DksgA,-0.911050876
H26_vs_DksgA,0.0361521
H26_vs_DksgA,-0.3977923
H26_vs_DksgA,-0.072702494
H26_vs_DksgA,-0.549116848
H26_vs_DksgA,-0.477439446
H26_vs_DksgA,-0.459329448
H26_vs_DksgA,-0.007206107
H26_vs_DksgA,-0.254777725
H26_vs_DksgA,-0.465475091
H26_vs_DksgA,0
H26_vs_DksgA,1.097658762
H26_vs_DksgA,-0.109489474
H26_vs_DksgA,0.537549022
H26_vs_DksgA,0.218819293
H26_vs_DksgA,0.547238688
H26_vs_DksgA,-0.012640169
H26_vs_DksgA,0.717659015
H26_vs_DksgA,1.094285028
H26_vs_DksgA,-0.412915927
H26_vs_DksgA,-0.043379795
H26_vs_DksgA,0.176886858
H26_vs_DksgA,0
H26_vs_DksgA,0.310292675
H26_vs_DksgA,-0.417671239
H26_vs_DksgA,-0.272445245
H26_vs_DksgA,1.153148002
H26_vs_DksgA,2.089952206
H26_vs_DksgA,1.420590131
H26_vs_DksgA,0.878015708
H26_vs_DksgA,0.392616332
H26_vs_DksgA,1.191621818
H26_vs_DksgA,0.146735336
H26_vs_DksgA,0.707066796
H26_vs_DksgA,0.924662077
H26_vs_DksgA,1.118552395
H26_vs_DksgA,-0.136021603
H26_vs_DksgA,-0.218120191
H26_vs_DksgA,0.626833031
H26_vs_DksgA,0.197342875
H26_vs_DksgA,-0.451157209
H26_vs_DksgA,-0.01338887
