Protein ID,Log2 fold change
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,2.600746094
H53_EL_RM_vs_H53_LL_RM,3.719872728
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,4.621178918
H53_EL_RM_vs_H53_LL_RM,0.24999988
H53_EL_RM_vs_H53_LL_RM,1.251754934
H53_EL_RM_vs_H53_LL_RM,1.562948845
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,-0.193999555
H53_EL_RM_vs_H53_LL_RM,0.12037289
H53_EL_RM_vs_H53_LL_RM,0.758999744
H53_EL_RM_vs_H53_LL_RM,-0.85643741
H53_EL_RM_vs_H53_LL_RM,0.200565017
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.936228368
H53_EL_RM_vs_H53_LL_RM,-0.130850648
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.066845416
H53_EL_RM_vs_H53_LL_RM,0.635076953
H53_EL_RM_vs_H53_LL_RM,-0.030401717
H53_EL_RM_vs_H53_LL_RM,0.8324704
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.567601192
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.909318933
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.169795276
H53_EL_RM_vs_H53_LL_RM,0.356921489
H53_EL_RM_vs_H53_LL_RM,1.340329035
H53_EL_RM_vs_H53_LL_RM,0.253240196
H53_EL_RM_vs_H53_LL_RM,0.452862884
H53_EL_RM_vs_H53_LL_RM,0.608885746
H53_EL_RM_vs_H53_LL_RM,0.529864144
H53_EL_RM_vs_H53_LL_RM,1.385718291
H53_EL_RM_vs_H53_LL_RM,1.233489217
H53_EL_RM_vs_H53_LL_RM,1.196133417
H53_EL_RM_vs_H53_LL_RM,1.733446134
H53_EL_RM_vs_H53_LL_RM,2.008940986
H53_EL_RM_vs_H53_LL_RM,1.821568128
H53_EL_RM_vs_H53_LL_RM,0.897024769
H53_EL_RM_vs_H53_LL_RM,0.145361916
H53_EL_RM_vs_H53_LL_RM,-0.207374042
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,2.327936111
H53_EL_RM_vs_H53_LL_RM,-2.506573268
H53_EL_RM_vs_H53_LL_RM,0.080757162
H53_EL_RM_vs_H53_LL_RM,0.740100113
H53_EL_RM_vs_H53_LL_RM,-0.494014096
H53_EL_RM_vs_H53_LL_RM,-2.686535471
H53_EL_RM_vs_H53_LL_RM,0.645951726
H53_EL_RM_vs_H53_LL_RM,-0.609487633
H53_EL_RM_vs_H53_LL_RM,-0.561215521
H53_EL_RM_vs_H53_LL_RM,-0.874824802
H53_EL_RM_vs_H53_LL_RM,-0.751304165
H53_EL_RM_vs_H53_LL_RM,-0.595935437
H53_EL_RM_vs_H53_LL_RM,-0.830041092
H53_EL_RM_vs_H53_LL_RM,-0.97105204
H53_EL_RM_vs_H53_LL_RM,-0.213017122
H53_EL_RM_vs_H53_LL_RM,-0.085932291
H53_EL_RM_vs_H53_LL_RM,-0.094817281
H53_EL_RM_vs_H53_LL_RM,-0.52722094
H53_EL_RM_vs_H53_LL_RM,-0.583897802
H53_EL_RM_vs_H53_LL_RM,-0.456269069
H53_EL_RM_vs_H53_LL_RM,-0.003104549
H53_EL_RM_vs_H53_LL_RM,-2.21123125
H53_EL_RM_vs_H53_LL_RM,8.879117811
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.071941316
H53_EL_RM_vs_H53_LL_RM,0.367956831
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.22337213
H53_EL_RM_vs_H53_LL_RM,0.571344013
H53_EL_RM_vs_H53_LL_RM,2.097334382
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,1.324789217
H53_EL_RM_vs_H53_LL_RM,0.84654001
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.339468897
H53_EL_RM_vs_H53_LL_RM,1.195455628
H53_EL_RM_vs_H53_LL_RM,1.980699557
H53_EL_RM_vs_H53_LL_RM,-0.035190316
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,-0.314950966
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,-0.004958004
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.974401734
H53_EL_RM_vs_H53_LL_RM,-0.69467286
H53_EL_RM_vs_H53_LL_RM,-3.420806297
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,0.793546982
H53_EL_RM_vs_H53_LL_RM,1.169754608
H53_EL_RM_vs_H53_LL_RM,-1.037174193
H53_EL_RM_vs_H53_LL_RM,0
H53_EL_RM_vs_H53_LL_RM,-0.092027964
H53_EL_RM_vs_H53_LL_RM,-0.027018826
H53_EL_RM_vs_H53_LL_RM,0.069991247
H53_EL_RM_vs_H53_LL_RM,-0.092831441
H53_EL_RM_vs_H53_LL_RM,-0.451472174
H53_EL_RM_vs_H53_LL_RM,4.189176013
H53_EL_RM_vs_H53_LL_RM,0.751409352
